Name,Price,ImageUrl
Superior,675.000,/img/room/Superior
Duluxe,765.000,/img/room/Duluxe
Duluxe City View,900.000,/img/room/DuluxeCityView
Duluxe River View,1.125.000,/img/room/SeniorSuiteRiverView
Senior Suite River View,1.350.000,/img/room/SeniorSuiteRiverView
Premier Family Suite View,1.575.000,/img/room/PremierFamilySuiteView
VIP River View,2.2250.000,/img/room/VIPRiverView
