Name,Price,ImageUrl
Superior,780.000,/img/room/Superior
Duluxe,884.000,/img/room/Duluxe
Duluxe City View,1.040.000,/img/room/DuluxeCityView
Duluxe River View,1.300.000,/img/room/DuluxeRiverView
Senior Suite River View,1.560.000,/img/room/SeniorSuiteRiverView
Premier Family Suite View,1.820.000,/img/room/PremierFamilySuiteView
VIP River View,2.600.000,/img/room/VIPRiverView
